Похибка апроксимації |f(x) - φ(x)| для m = 1..4
       x |        m=1 |        m=2 |        m=3 |        m=4
  17.723 |     7.1681 |     6.5735 |     7.8926 |     4.2441
  17.771 |     7.2025 |     6.6224 |     7.9422 |     4.1484
  17.819 |     7.2369 |     6.6715 |     7.9916 |     4.0533
  17.867 |     7.2713 |     6.7206 |     8.0409 |     3.9589
  17.915 |     7.3057 |     6.7699 |     8.0900 |     3.8654
  17.962 |     7.3402 |     6.8194 |     8.1388 |     3.7727
  18.010 |     7.3850 |     6.8794 |     8.1979 |     3.6914
  18.058 |     7.4673 |     6.9770 |     8.2943 |     3.6486
  18.106 |     7.5497 |     7.0747 |     8.3906 |     3.6068
  18.154 |     7.6320 |     7.1726 |     8.4866 |     3.5661
  18.202 |     7.7143 |     7.2706 |     8.5824 |     3.5265
  18.250 |     7.7967 |     7.3687 |     8.6780 |     3.4882
  18.298 |     7.8790 |     7.4670 |     8.7734 |     3.4512
  18.346 |     7.9613 |     7.5654 |     8.8686 |     3.4155
  18.394 |     8.0437 |     7.6640 |     8.9636 |     3.3812
  18.442 |     8.1260 |     7.7626 |     9.0583 |     3.3484
  18.490 |     8.2083 |     7.8614 |     9.1528 |     3.3171
  18.537 |     8.2907 |     7.9604 |     9.2472 |     3.2875
  18.585 |     8.3730 |     8.0594 |     9.3413 |     3.2595
  18.633 |     8.4553 |     8.1586 |     9.4351 |     3.2333
  18.681 |     8.5377 |     8.2580 |     9.5287 |     3.2088
  18.729 |     8.6200 |     8.3574 |     9.6221 |     3.1862
  18.777 |     8.7023 |     8.4570 |     9.7153 |     3.1656
  18.825 |     8.7847 |     8.5568 |     9.8082 |     3.1469
  18.873 |     8.8670 |     8.6566 |     9.9009 |     3.1304
  18.921 |     8.9493 |     8.7566 |     9.9933 |     3.1159
  18.969 |     9.0317 |     8.8567 |    10.0855 |     3.1037
  19.017 |     9.0640 |     8.9070 |    10.1275 |     3.0438
  19.065 |     9.0026 |     8.8636 |    10.0754 |     2.8924
  19.112 |     8.9412 |     8.8204 |    10.0231 |     2.7435
  19.160 |     8.8798 |     8.7773 |     9.9705 |     2.5971
  19.208 |     8.8183 |     8.7344 |     9.9176 |     2.4532
  19.256 |     8.7569 |     8.6915 |     9.8645 |     2.3120
  19.304 |     8.6955 |     8.6488 |     9.8112 |     2.1735
  19.352 |     8.6341 |     8.6063 |     9.7575 |     2.0378
  19.400 |     8.5727 |     8.5638 |     9.7036 |     1.9050
  19.448 |     8.5113 |     8.5215 |     9.6494 |     1.7750
  19.496 |     8.4498 |     8.4794 |     9.5949 |     1.6481
  19.544 |     8.3884 |     8.4373 |     9.5402 |     1.5243
  19.592 |     8.3270 |     8.3954 |     9.4851 |     1.4037
  19.640 |     8.2656 |     8.3536 |     9.4298 |     1.2862
  19.687 |     8.2042 |     8.3120 |     9.3742 |     1.1721
  19.735 |     8.1428 |     8.2705 |     9.3183 |     1.0614
  19.783 |     8.0813 |     8.2291 |     9.2620 |     0.9542
  19.831 |     8.0199 |     8.1879 |     9.2055 |     0.8506
  19.879 |     7.9585 |     8.1468 |     9.1487 |     0.7505
  19.927 |     7.8971 |     8.1058 |     9.0916 |     0.6542
  19.975 |     7.8357 |     8.0649 |     9.0342 |     0.5617
  20.023 |     7.7284 |     7.9784 |     8.9306 |     0.4272
  20.071 |     7.5712 |     7.8420 |     8.7767 |     0.2467
  20.119 |     7.4139 |     7.7057 |     8.6225 |     0.0703
  20.167 |     7.2567 |     7.5696 |     8.4680 |     0.1021
  20.215 |     7.0994 |     7.4335 |     8.3132 |     0.2702
  20.262 |     6.9422 |     7.2977 |     8.1580 |     0.4340
  20.310 |     6.7849 |     7.1619 |     8.0026 |     0.5935
  20.358 |     6.6277 |     7.0263 |     7.8467 |     0.7485
  20.406 |     6.4704 |     6.8908 |     7.6906 |     0.8989
  20.454 |     6.3132 |     6.7554 |     7.5341 |     1.0447
  20.502 |     6.1559 |     6.6202 |     7.3773 |     1.1858
  20.550 |     5.9987 |     6.4851 |     7.2201 |     1.3221
  20.598 |     5.8414 |     6.3502 |     7.0626 |     1.4535
  20.646 |     5.6842 |     6.2153 |     6.9047 |     1.5799
  20.694 |     5.5269 |     6.0806 |     6.7465 |     1.7012
